id,question
0,Quelle est l'objectif principal de la loi du 23 octobre 2018 ?
0,Quand la loi du 23 octobre 2018 a-t-elle été publiée ?
0,Quels types de fraude sont ciblés par la loi du 23 octobre 2018 ?
0,D'où provient l'information relative à la loi du 23 octobre 2018 ?
0,Quel est le type de texte légal de la loi du 23 octobre 2018 ?
10,Quels types de sanctions sont généralement appliqués en cas de fraude fiscale selon la loi du 6 décembre 2013 ?
10,En quelle date la loi relative à la fraude fiscale a-t-elle été publiée ?
10,Quels agissements peuvent justifier une réponse pénale face à la fraude fiscale selon le texte légal ?
10,Quelle est la source officielle de la loi du 6 décembre 2013 concernant la fraude fiscale ?
10,Pourquoi certaines actions de fraude fiscale entraînent-elles des sanctions pénales selon le texte de loi ?
38,Quel décret a été publié le 16 mai 2019 concernant le service national de douane judiciaire?
38,Qui dirige le service à compétence nationale mentionné dans le décret du 16 mai 2019?
38,À quelles directions est rattaché le service issu de la transformation du SNDJ?
38,Quel est l'objectif principal de ce service selon le décret du 16 mai 2019?
38,Quelle est la date de publication de ce décret abordant la fraude fiscale?
41,Quelle loi a été adoptée le 23 octobre 2018 concernant la procédure pénale?
41,Que stipule la loi n° 2018-898 en lien avec l'article 28-2 du code de procédure pénale?
41,Quels types de fraudes sont abordés dans la loi n° 2018-898?
41,Quelle est la date de publication de la loi n° 2018-898?
41,Quelle phrase a été supprimée par la loi n° 2018-898?
42,Quelle loi a été modifiée par la Loi n° 2018-898 du 23 octobre 2018?
42,Quelles sont les modifications apportées à l'article 415 du code des douanes?
42,Quel type de fraudes sont abordées dans le texte de la loi du 23 octobre 2018?
42,Quand la Loi n° 2018-898 a-t-elle été publiée?
42,Où peut-on trouver le texte complet de la Loi n° 2018-898?
